exact sum,estimated sum,solution 1 min,solution 1 max,solution 2 min,solution 2 max,sum ratio,exact runtime(ms),sampled runtime(ms),runtime improvement(%)
256154298,258736790,-9.994599999999999E8,9.994599999999999E8,-1.9075273987287867E8,2.0387410973119196E8,0.01008178281669902,2276,33,0.9855008787346221
459180727,454668455,-2.5099999999999995E9,2.5099999999999995E9,-4.305986232875352E8,4.2982589140080625E8,0.009826788744990161,1555,102,0.9344051446945337
23426974,23041011,-9809999.999999998,9809999.999999998,-1.271903571922752E7,1.3402847476168802E7,0.016475153812011742,215,12,0.9441860465116279
494760330,491065003,-2.5099999999999995E9,2.5099999999999995E9,-4.6412423885850805E8,4.470090648119514E8,0.007468923387612745,1960,44,0.9775510204081632
372628683,366263249,-2.5099999999999995E9,2.5099999999999995E9,-3.498615421760191E8,3.491315781433779E8,0.017082512137156117,1959,40,0.9795814190913732
410517050,409329581,-1.2100100000000005E9,1.2100100000000005E9,-2.2911776314877424E8,2.4784359150224325E8,0.0028926179801788987,1563,35,0.9776071657069738
111227806,107211089,-2.5099999999999995E9,2.5099999999999995E9,-1.0481504082469596E8,1.2068585471721177E8,0.036112525675459244,499,28,0.9438877755511021
473669337,469949926,-2.5099999999999995E9,2.5099999999999995E9,-4.493519368422526E8,3.0915639683113325E8,0.007852336449635962,1892,41,0.9783298097251586
327647764,326984838,-2.5099999999999995E9,2.5099999999999995E9,-3.0814294425872934E8,4.737665516631772E8,0.0020232886435934904,1565,42,0.9731629392971246
439512635,439322953,-1.6741099999999995E9,1.6741099999999995E9,-3.150908588882892E8,3.34867012673971E8,4.3157348593630306E-4,1554,39,0.974903474903475
82921905,84279731,-3.8237000000000006E8,3.8237000000000006E8,-7.326454940672342E7,7.993613110091683E7,0.016374756465134272,1316,25,0.9810030395136778
345853311,343123815,-2.5099999999999995E9,2.5099999999999995E9,-3.2570842902516437E8,4.119493291797908E8,0.007892062655430238,1352,154,0.886094674556213
306849967,309562926,-9.536199999999999E8,9.536199999999999E8,-1.836005471457833E8,1.9563705005312425E8,0.008841320813959873,1149,32,0.9721496953872933
122902102,124845848,-2.5099999999999995E9,2.5099999999999995E9,-1.1806435171896742E8,3.727103998321739E8,0.01581540078134709,922,33,0.9642082429501084
185904442,188679438,-6.5136E8,6.5136E8,-1.2561571070862857E8,1.3556868254906026E8,0.014927002120799244,961,29,0.9698231009365245
108219033,107091662,-8.528E7,8.528E7,-2.5421444387931593E7,2.8265338926913325E7,0.010417492826793232,422,17,0.9597156398104265
274560804,270925428,-3.5704E8,3.5704E8,-7.588081986845697E7,8.29647050282854E7,0.013240695492718618,705,23,0.9673758865248226
204008015,199421673,-2.5099999999999995E9,2.5099999999999995E9,-1.9326014134631628E8,2.1010174711236107E8,0.022481185359310516,771,31,0.959792477302205
264471515,258373810,-2.5099999999999995E9,2.5099999999999995E9,-2.511676428492749E8,1.599055584681061E8,0.023056188111600602,802,33,0.9588528678304239
230390428,232803466,-8.4497E8,8.4497E8,-1.617488126485467E8,1.7382553336939994E8,0.010473690339253158,1048,31,0.9704198473282443
324225535,318475111,-2.5099999999999995E9,2.5099999999999995E9,-3.03929701107419E8,3.614610786129787E8,0.017735876355327782,1296,38,0.970679012345679
378199584,377367151,-2.5099999999999995E9,2.5099999999999995E9,-3.5593454521314806E8,4.7077510328987575E8,0.002201041553763317,1656,85,0.9486714975845411
