exact sum,estimated sum,solution 1 min,solution 1 max,solution 2 min,solution 2 max,sum ratio
353714768,349451087,-2.5099999999999995E9,2.5099999999999995E9,-3.325445346671433E8,3.883073845777357E8,0.012054009008750238
480526079,476738011,-2.5099999999999995E9,2.5099999999999995E9,-4.509795323193961E8,4.3945990454749966E8,0.007883168397193278
36783151,37834841,-3.906000000000001E7,3.906000000000001E7,-1.1967141172052804E7,1.4155606756030958E7,0.028591623376692226
19075979,19914145,-9580000.0,9580000.0,-8796406.438975226,9575322.725079652,0.0439382953818517
458983565,455176326,-2.5099999999999995E9,2.5099999999999995E9,-4.2894716668229395E8,4.7879953757233846E8,0.008294935353513147
399553939,392999301,-2.5099999999999995E9,2.5099999999999995E9,-3.751673394932701E8,3.529041450703561E8,0.01640488895292808
442599102,441840939,-2.5099999999999995E9,2.5099999999999995E9,-4.1606187809278864E8,4.864881477479028E8,0.0017129790742322834
305675108,299220334,-2.5099999999999995E9,2.5099999999999995E9,-2.907407563620524E8,1.539294988563625E8,0.02111645283200489
183125632,181887620,-2.2668E8,2.2668E8,-5.0842614385265626E7,5.606324371383062E7,0.006760451753690057
310388338,307037510,-4.1774E8,4.1774E8,-8.737573355387215E7,9.556613506580386E7,0.01079559889907977
394600530,391174089,-2.5099999999999995E9,2.5099999999999995E9,-3.690697184351391E8,4.684778677023214E8,0.008683315757330584
39251989,39411400,-1.9049000000000003E8,1.9049000000000003E8,-3.591096848637755E7,4.098271411431174E7,0.004061220948574097
471665475,467820052,-2.5099999999999995E9,2.5099999999999995E9,-4.40628059170037E8,4.833433843500236E8,0.008152860880902932
392272176,387159901,-2.5099999999999995E9,2.5099999999999995E9,-3.6884742869594914E8,3.7482407881195164E8,0.013032469068109485
146781464,149498941,-3.2274E8,3.2274E8,-6.543528311379157E7,7.287075264464533E7,0.018513761383385577
385456503,384936962,-1.7476799999999995E9,1.7476799999999995E9,-3.2767510433974874E8,3.4802055171077424E8,0.001347858956734218
482214993,478479872,-2.5099999999999995E9,2.5099999999999995E9,-4.5320438787847066E8,4.2605138079706085E8,0.007745758747074046
263438493,260355189,-2.6899E8,2.6899E8,-6.149497038201441E7,6.790780010624878E7,0.011704075455670026
273359498,275193150,-5.3493999999999994E8,5.3493999999999994E8,-1.0719503796690291E8,1.1675389099408303E8,0.006707840822856647
415355903,412582962,-2.5099999999999995E9,2.5099999999999995E9,-3.905912965058847E8,4.365306648419271E8,0.006676060169054586
143736577,140718224,-9.246E7,9.246E7,-2.9270171903634835E7,3.314819731185385E7,0.020999199111302057
472262398,468364815,-2.5099999999999995E9,2.5099999999999995E9,-4.4607225591442865E8,3.675959032169189E8,0.008253003026508157
